name,rating,rating_count,review_count,info
"MOTOROLA g06 power (Pantone Laurel Oak, 64 GB)",4.3,"8,448",493,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '7000 mAh Battery', 'Helio G81 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']"
"MOTOROLA g06 power (Pantone tapestry, 64 GB)",4.3,"8,448",493,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '7000 mAh Battery', 'Helio G81 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']"
"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",4.2,"41,774","2,499","['4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB', '17.02 cm (6.7 inch) HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories']"
"POCO C71 (Power Black, 64 GB)",3.9,"59,013","2,600","['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '17.48 cm (6.88 inch) HD+ Display', '32MP Rear Camera | 8MP Front Camera', '5200 mAh Battery', 'Unisoc T7250\nMax clock speed: \n2 x A75@1.8GHz\n6 x A55@1.6GHz Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"Samsung Galaxy F06 5G (Lit Violet, 64 GB)",4.2,"41,774","2,499","['4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB', '17.02 cm (6.7 inch) HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories']"
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",4.2,"21,913","1,417","['6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB', '17.02 cm (6.7 inch) HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories']"
"MOTOROLA g06 power (Pantone Tendril, 64 GB)",4.3,"8,448",493,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '7000 mAh Battery', 'Helio G81 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']"
"POCO C71 (Cool Blue, 128 GB)",4.1,"34,729","1,615","['6 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.48 cm (6.88 inch) HD+ Display', '32MP Rear Camera | 8MP Front Camera', '5200 mAh Battery', 'Unisoc T7250\nMax clock speed: \n2 x A75@1.8GHz\n6 x A55@1.6GHz Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"MOTOROLA g57 power 5G (Pantone Fluidity, 128 GB)",4.4,"21,680","1,175","['8 GB RAM | 128 GB ROM', '17.07 cm (6.72 inch) Full HD+ Display', '50MP + 8MP | 8MP Front Camera', '7000 mAh Battery', '6s Gen 4 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']"
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",4.2,"41,774","2,499","['4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB', '17.02 cm (6.7 inch) HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories']"
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",4.4,"62,506","1,905","['6 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP + 2MP | 5MP Front Camera', '6000 mAh Battery', 'Dimensity 6300 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']"
"REDMI 14C 5G (Stardust Purple, 128 GB)",4.3,"10,392",499,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5160 mAh Battery', '4 Gen 2 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"vivo T4x 5G (Marine Blue, 128 GB)",4.4,"1,62,182","7,540","['8 GB RAM | 128 GB ROM', '17.07 cm (6.72 inch) Display', '50MP + 2MP | 8MP Front Camera', '6500 mAh Battery', 'Dimensity 7300 5G Processor', '1 Year Warranty for Device and 6 Months Warranty for Accessories']"
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",4.4,"46,884","1,346","['4 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP + 2MP | 5MP Front Camera', '6000 mAh Battery', 'Dimensity 6300 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']"
